,Teen births raw value
865,24.291902034
101,43.596730245
1501,22.356085351999997
2260,25.697503671
171,51.787222066
107,31.548931918
2209,5.735660847899999
1521,26.055252549000002
3128,15.748031496
1826,32.078103208
2314,21.354779236
2108,51.969276025
1961,27.687296417
2144,18.016185509
2115,41.452915856
2366,7.5349838536
2456,43.439911797
2700,44.060520514
1956,54.355651548000004
295,34.247861185
712,39.698836413
72,30.579490689
1524,45.825335893
2886,31.901041666999998
2686,34.391534392
3022,11.548054255
481,41.971505583
2330,45.37671232899999
1530,36.041980677
2678,30.579490689
1872,16.061019472
1514,26.548672566
3099,17.941952507
1762,35.087719298
1490,36.51953001
1171,44.615835205
2980,8.0064051241
2030,30.579490689
2665,32.997481108
2178,59.309079792
2328,40.437998271
2387,33.333333333
405,55.088702148
757,32.335329341
2605,52.408681842
2295,10.049474335
2063,6.9214762896
97,36.513720532
1333,13.929193267999999
2505,40.181672455
743,39.834728255
806,30.192131747
2903,11.03565365
2073,27.802838595999997
2622,42.322345536
1535,54.329147389
2452,38.105318867
2213,28.667331941999997
2459,44.774944917
148,39.435248296
1971,48.435640792
2302,20.33271719
2561,28.75399361
1315,12.057856673
692,30.801315473
818,17.986855759
1728,30.579490689
1386,11.843876178
1845,28.294332236
2397,30.579490689
2159,64.95726495699999
1599,85.144388211
2477,40.934371524
2577,75.697211155
701,39.682539683
1499,22.024367385
2786,33.918128655
921,44.075829384
1424,38.680318544
1708,16.703627333
905,36.606560939
454,32.60650111
2250,26.584867076
2426,28.65448505
2420,30.579490689
2232,30.135088327
167,49.704142012
730,40.343689541
2269,34.885077587
1310,30.678431602
2414,30.579490689
26,47.993807251
2092,28.343200065
1897,36.220472441
1652,30.579490689
1622,24.229862054
587,28.658125421
1401,50.941850941999995
997,48.068576389
1176,50.0
1700,14.218009479000001
1040,65.796728543
33,36.264991433
2010,30.579490689
2484,31.243897676
1379,11.18140356
41,25.600505689
1876,25.239107333000003
1991,13.20754717
2869,16.579406632
2775,78.876678877
2272,29.199475065999998
2011,30.579490689
1992,94.070695553
609,16.806247171
1132,55.232182124
28,42.693926639
441,34.068627451
665,19.579951468
2271,24.518495873000003
493,28.694607393
1258,18.068294839
1301,20.346320346
2663,36.758563074
2481,39.353478566
1382,14.707394837
1304,23.631664158000003
236,23.297806747
551,14.219191751
520,45.021961933
2329,33.665105386
1232,16.282225237000002
1138,32.568208204
1905,21.94696151
720,24.814814815
735,32.496307238
2783,43.674995081999995
1750,36.310649023
58,15.588382993
631,24.485036922
1181,17.275470913
2315,5.7831678095
592,33.636021708
1303,28.341687552
1387,22.609340252
2743,40.404606461
2759,23.308668076
2871,47.872340426
2341,29.775489624000002
939,27.020357804
2923,26.742301459
1249,11.276208375
904,30.579490689
2668,52.832063597
1279,19.138755981
2749,28.288285302
3015,73.64016736399999
3046,44.708029196999995
2503,55.372581309
2585,63.037249284
1142,46.02917342
2497,40.810502283000005
706,33.535266119
2770,61.475409836000004
1022,40.640856981999995
745,38.519061438
1546,27.66377869
1939,19.102125762
2473,48.654244306
2148,44.622044622
2069,34.642377184000004
513,39.687811358
81,96.399099775
2791,4.375
1308,21.427704261
2737,50.537634409
914,13.118062563
1404,43.788437884
1647,14.221556885999998
2893,41.46463802
1108,57.56097561
150,35.834738617
2858,22.93064877
774,34.151034151
329,19.941526364
6,42.14559387
2001,27.855153203
943,25.739764897
822,20.517144463
734,34.826844062
909,14.864864865
468,48.532731377
181,51.690507152
164,77.5390625
1523,42.761148442
451,54.000361206
1311,7.354085959500001
1111,70.163004961
1287,31.430404105
327,24.788632641
1790,24.112231476999998
2785,23.457862728000002
2007,13.809573253
1858,12.650019907999999
312,14.78671629
832,24.727110715
1201,37.588775333
2430,49.92
3095,16.602949208
2439,25.284450063
1481,49.882168107
777,30.284675954
799,34.818420067
54,18.925786384
1920,40.067032297
2711,73.11827957
2956,27.359118697
1701,28.747433265
2941,9.3959731544
987,30.579490689
2263,21.044755179000003
1394,14.09159537
768,46.62004662
2782,14.480636358
285,42.63138552
3053,20.538243626
428,26.826608506
2079,32.632919451999996
722,35.269993165
951,27.297543221
989,30.579490689
2927,15.947737535
2310,22.687153347
326,45.737285035
1383,8.486985625900001
1724,29.592929834
1086,36.60130719
341,36.685369012
147,56.59025788
2761,25.691291786999997
1107,27.017783858
848,15.980823012
966,24.734982332
2584,51.338199513
661,8.837337752
1002,45.639597172
2457,33.866350115
3032,48.410197651000004
2784,20.438498699
1879,11.522567657
2952,29.228193028000003
1203,28.343516633000004
1990,30.579490689
24,42.365852102
3083,15.626070866
2130,30.059271804
3023,39.419087137
2415,30.579490689
875,25.0
2826,11.222301644000002
938,30.579490689
2630,57.101744853999996
3112,20.632737276
385,35.569517633
2631,39.128281326999996
2308,14.214460317
2463,43.971076803
936,15.873015873
2705,44.500723588999996
3062,19.717102442999998
1332,10.610684536
1934,28.624798061
935,19.78021978
566,38.356604076
1854,12.229255479
2545,30.579490689
1645,14.418125644000002
2226,26.657552973
1792,6.2355931202
1430,33.792
2437,34.106537085999996
1013,60.64516129
1928,24.575775306999997
3089,14.806838067000001
126,38.412849118
2881,14.264990329000002
1347,29.297564419
355,12.064150478
827,18.510356985
1639,36.372007366
984,25.882352941
362,18.396674256
345,23.198509526
2163,55.003548616
2666,35.921205098
711,20.684798873
2166,57.765876051999996
10,49.344978166
2534,40.638606676
2116,27.324343505999998
1834,26.590950063
793,19.230769231
2898,18.079800499
94,30.579490689
129,50.93422063
2353,34.873779418000005
3042,53.952321205
1900,22.157914748000003
2902,42.398839271
1932,26.93832456
2256,22.08599261
1865,24.141469008
1658,30.579490689
516,35.885167464
1857,7.6518914788
1277,7.103677726799999
